Oscar Year,Movie Title,Movie Studio,Movie Productor,Movie Director,Movie Genre
16.ª ceremonia de entrega de los Premios Óscar (1943),Casablanca,Warner Bros.,Hal B. Wallis,Michael Curtiz,Drama / Romance
17.ª ceremonia de entrega de los Premios Óscar (1944),Going My Way,Paramount,Leo McCarey,Leo McCarey,Drama
18.ª ceremonia de entrega de los Premios Óscar (1945),The Lost Weekend,Paramount,Charles Brackett,Billy Wilder,Drama
19.ª ceremonia de entrega de los Premios Óscar (1946),The Best Years of Our Lives,RKO Radio,Samuel Goldwyn,William Wyler,Drama
20.ª ceremonia de entrega de los Premios Óscar (1947),Gentleman's Agreement,20th Century Fox,Darryl F. Zanuck,Elia Kazan,Drama
21.ª ceremonia de entrega de los Premios Óscar (1948),Hamlet,J. Arthur Rank-Two Cities Films Universal International,Laurence Olivier,Laurence Olivier,Drama
22.ª ceremonia de entrega de los Premios Óscar (1949),All the King's Men,RossenColumbia,Robert Rossen,Robert Rossen,Drama
23.ª ceremonia de entrega de los Premios Óscar (1950),All About Eve,20th Century Fox,Darryl F. Zanuck,Joseph L. Mankiewicz,Drama
24.ª ceremonia de entrega de los Premios Óscar (1951),An American in Paris,Metro-Goldwyn-Mayer,Arthur Freed,Vincente Minnelli,Musical
25.ª ceremonia de entrega de los Premios Óscar (1952),The Greatest Show on Earth,Paramount,Cecil B. De Mille,Cecil B. De Mille,Drama
26.ª ceremonia de entrega de los Premios Óscar (1953),From Here to Eternity,Columbia,Buddy Adler,Fred Zinnemann,Drama / Bélico
27.ª ceremonia de entrega de los Premios Óscar (1954),On the Waterfront,Columbia,Sam Spiegel,Elia Kazan,Drama
28.ª ceremonia de entrega de los Premios Óscar (1955),Marty,United Artists,Harold Hecht,Delbert Mann,Drama
29.ª ceremonia de entrega de los Premios Óscar (1956),Around the World in Eighty Days,United Artists,Michael Todd,Michael Anderson,Aventura
30.ª ceremonia de entrega de los Premios Óscar (1957),The Bridge on the River Kwai,Columbia,Sam Spiegel,David Lean,Bélico
31.ª ceremonia de entrega de los Premios Óscar (1958),Gigi,Metro-Goldwyn-Mayer,Arthur Freed,Vincente Minnelli,Musical
32.ª ceremonia de entrega de los Premios Óscar (1959),Ben-Hur,Metro-Goldwyn-Mayer,Sam Zimbalist,William Wyler,Acción / Aventura
33.ª ceremonia de entrega de los Premios Óscar (1960),The Apartment,United Artists,Billy Wilder,Billy Wilder,Comedia dramática
34.ª ceremonia de entrega de los Premios Óscar (1961),West Side Story,United Artists,Robert Wise,Robert Wise,Musical
35.ª ceremonia de entrega de los Premios Óscar (1962),Lawrence of Arabia,Columbia,Sam Spiegel,David Lean,Drama histórico
36.ª ceremonia de entrega de los Premios Óscar (1963),Tom Jones,United Artists,Tony Richardson,Tony Richardson,Aventura / Comedia
37.ª ceremonia de entrega de los Premios Óscar (1964),My Fair Lady,Warner Bros.,Jack L. Warner,George Cukor,Musical
38.ª ceremonia de entrega de los Premios Óscar (1965),The Sound of Music,20th Century Fox,Robert Wise,Robert Wise,Musical
39.ª ceremonia de entrega de los Premios Óscar (1966),A Man for All Seasons,Columbia,Fred Zinnemann,Fred Zinnemann,Biográfico
40.ª ceremonia de entrega de los Premios Óscar (1967),In the Heat of the Night,United Artists,Walter Mirisch,Norman Jewison,Drama policial / Misterio
41.ª ceremonia de entrega de los Premios Óscar (1968),Oliver!,Columbia,John Woolf,Carol Reed,Musical
42.ª ceremonia de entrega de los Premios Óscar (1969),Midnight Cowboy,United Artists,Jerome Hellman,John Schlesinger,Drama
43.ª ceremonia de entrega de los Premios Óscar (1970),Patton,20th Century Fox,Frank McCarthy,Franklin J. Schaffner,Biográfico
44.ª ceremonia de entrega de los Premios Óscar (1971),The French Connection,20th Century Fox,Philip D'Antoni,William Friedkin,Drama policial
45.ª ceremonia de entrega de los Premios Óscar (1972),The Godfather,Paramount,Albert S. Ruddy,Francis Ford Coppola,Drama / Crimen
46.ª ceremonia de entrega de los Premios Óscar (1973),The Sting,Universal,Tony BillMichael PhillipsJulia Phillips,George Roy Hill,Comedia
47.ª ceremonia de entrega de los Premios Óscar (1974),The Godfather Part II,Paramount,Francis Ford CoppolaGray FredericksonFred Roos,Francis Ford Coppola,Drama / Crimen
